ID,NAME,CODE,CATEGORY,PRICE,CURRENCY,COLOR,CREATED_AT,UPDATED_AT
p1,Classic_Crew_Tee,DLN-12511,T-Shirt,25,EUR,turquoise,2021-05-12 09:18:44.000,2021-05-12 09:18:44.000
p2,Performance_Running_Tee,DLN-12512,T-Shirt,30,EUR,BLACK,2017-06-03 11:42:09.000,2017-06-03 11:42:09.000
p3,Data_Engineer_Shirt,DLN-12513,T-Shirt,30,EUR,Grey,2021-07-18 14:07:31.000,2021-08-05 10:22:55.000
p4,Classic_Crew_Hoodie,DLN-12514,Hoodie,55,EUR,TURQUOISE,2021-09-02 16:51:08.000,2021-09-28 09:35:14.000
p5,Performance_Running_Hoodie,DLN-12515,Hoodie,60,EUR,GREY,2022-01-11 08:26:49.000,2022-01-11 08:26:49.000
p6,Data_Engineer_Hoodie,DLN-12516,Hoodie,60,EUR,grey,2022-02-04 12:44:02.000,2022-02-04 12:44:02.000
p7,Performance_Running_Short,DLN-12517,Short,30,EUR,black,2022-03-19 15:09:27.000,2022-04-21 17:18:40.000
p8,Christmas_Socks,DLN-12518,Socks,30,EUR,white,2022-05-11 10:33:56.000,2022-05-11 10:33:56.000
p9,Data_Engineer_Windbreaker,DLN-12519,Jacket,80,EUR,grey,2022-06-04 09:57:13.000,2022-06-29 14:41:05.000
p10,College_Jacket,DLN-12520,Jacket,100,EUR,Turquoise,2022-07-08 13:22:48.000,2022-07-08 13:22:48.000
p11,Data_Engineer_Mug,DLN-12521,Accessories,10,EUR,grey,2022-08-19 11:06:34.000,2022-08-19 11:06:34.000
p12,Crew_Cap,DLN-12522,Accessories,15,EUR,TURQUOISE,2022-09-03 16:48:59.000,2022-09-26 10:12:17.000
p13,Classic_Crew_Socks,DLN-12523,Socks,12,EUR,turquoise,2022-10-05 09:15:30.000,2022-10-05 09:15:30.000
p14,Performance_Running_Socks,DLN-12524,Socks,15,EUR,BLACK,2022-10-22 14:22:11.000,2022-10-22 14:22:11.000
p15,Data_Engineer_Cap,DLN-12525,Accessories,18,EUR,Grey,2022-11-12 11:05:44.000,2022-11-15 16:30:22.000
p16,Winter_Beanie,DLN-12526,Accessories,20,EUR,TURQUOISE,2022-12-01 08:45:19.000,2022-12-01 08:45:19.000
p17,Classic_Crew_Short,DLN-12527,Short,28,EUR,GREY,2023-01-14 10:12:05.000,2023-01-14 10:12:05.000
p18,Data_Engineer_Short,DLN-12528,Short,32,EUR,grey,2023-02-09 13:55:40.000,2023-02-10 09:18:12.000
p19,Waterproof_Rain_Jacket,DLN-12529,Jacket,95,EUR,black,2023-03-24 16:04:18.000,2023-03-24 16:04:18.000
p20,Performance_Running_Jack,DLN-12530,Jacket,85,EUR,white,2023-04-11 15:30:22.000,2023-04-11 15:30:22.000
p21,Classic_Crew_Mug,DLN-12531,Accessories,10,EUR,grey,2023-05-02 09:22:47.000,2023-05-02 09:22:47.000
p22,Travel_Coffee_Tumbler,DLN-12532,Accessories,25,EUR,Turquoise,2023-05-18 11:05:14.000,2023-05-20 14:12:09.000
p23,Data_Engineer_Tee_V2,DLN-12533,T-Shirt,35,EUR,grey,2023-06-05 16:40:00.000,2023-06-05 16:40:00.000
p24,Logo_Graphic_Tee,DLN-12534,T-Shirt,25,EUR,TURQUOISE,2023-07-19 07:55:33.000,2023-07-22 08:22:19.000
p25,Oversized_Sweatshirt,DLN-12535,Hoodie,50,EUR,grey,2023-08-15 14:12:09.000,2023-08-15 14:12:09.000
p26,Zip_Up_Hoodie,DLN-12536,Hoodie,65,EUR,BLACK,2023-09-08 18:25:50.000,2023-09-08 18:25:50.000
p27,Athletic_Cargo_Short,DLN-12537,Short,35,EUR,grey,2023-10-17 09:00:04.000,2023-10-17 09:00:04.000
p28,Cozy_Bed_Socks,DLN-12538,Socks,15,EUR,white,2023-11-26 11:47:13.000,2023-11-28 13:05:40.000
p29,Windproof_Running_Vest,DLN-12539,Jacket,55,EUR,turquoise,2023-12-12 15:10:22.000,2023-12-12 15:10:22.000
p30,Canvas_Tote_Bag,DLN-12540,Accessories,15,EUR,Grey,2024-01-05 13:22:58.000,2024-01-05 13:22:58.000
p31,Laptop_Sleeve_Case,DLN-12541,Accessories,30,EUR,black,2024-01-22 10:14:05.000,2024-01-25 11:00:15.000
p32,Summer_Tank_Top,DLN-12542,T-Shirt,22,EUR,TURQUOISE,2024-02-14 16:33:21.000,2024-02-14 16:33:21.000
