CUSTOMER_ID,PRODUCT_ID,SALES_DATE,QUANTITY,TOTAL_AMOUNT,CURRENCY,CREATED_AT,UPDATED_AT
c3,p2,2018-01-05,1,30,EUR,2023-01-05 10:14:22.000,2023-01-05 10:14:22.000
c1,p1,2023-01-05,2,50,EUR,2023-01-05 09:03:41.000,2023-01-05 09:03:41.000
c7,p8,2023-01-06,3,90,EUR,2023-01-06 15:27:18.000,2023-01-06 15:27:18.000
c5,p5,2023-01-07,1,60,EUR,2023-01-07 11:42:09.000,2023-08-29 13:05:44.000
c2,p3,2023-01-07,2,60,EUR,2023-01-07 16:18:33.000,2023-01-07 16:18:33.000
c9,p10,2023-01-08,1,100,EUR,2023-01-08 10:54:12.000,2023-01-08 10:54:12.000
c4,p4,2023-01-08,1,55,EUR,2023-01-08 14:36:59.000,2023-01-08 14:36:59.000
c10,p11,2023-01-09,2,20,EUR,2023-01-09 09:11:07.000,2023-01-09 09:11:07.000
c6,p7,2023-01-10,1,30,EUR,2023-01-10 12:48:25.000,2023-06-03 15:02:41.000
c8,p1,2023-01-10,1,25,EUR,2023-01-10 17:19:56.000,2023-01-10 17:19:56.000
c3,p5,2023-01-11,2,120,EUR,2023-01-11 10:06:34.000,2023-01-11 10:06:34.000
c1,p12,2023-01-11,1,15,EUR,2023-01-11 13:44:58.000,2023-01-11 13:44:58.000
c7,p4,2023-01-12,2,110,EUR,2023-01-12 09:28:16.000,2023-03-18 11:39:02.000
c2,p6,2023-01-12,3,180,EUR,2023-01-12 16:52:41.000,2023-01-12 16:52:41.000
c9,p2,2023-01-13,1,30,EUR,2023-01-13 10:17:09.000,2023-01-13 10:17:09.000
c5,p3,2023-01-13,1,30,EUR,2023-01-13 14:05:37.000,2023-01-13 14:05:37.000
c6,p9,2023-01-14,2,160,EUR,2023-01-14 11:33:48.000,2023-05-17 16:21:55.000
c1,p7,2023-01-14,,30,EUR,2023-01-14 18:02:11.000,2023-01-14 18:02:11.000
c4,p1,2023-01-14,1,25,EUR,2023-01-14 09:49:26.000,2023-01-14 09:49:26.000
c10,p12,2023-01-15,1,15,EUR,2023-01-15 12:57:03.000,2023-01-15 12:57:03.000
c8,p8,2023-01-15,3,90,EUR,2023-01-15 15:41:39.000,2023-01-15 15:41:39.000
c6,p3,2023-01-16,,,EUR,2023-01-16 10:08:54.000,2023-01-16 10:08:54.000
c2,p4,2023-01-16,1,,,2023-01-16 11:46:12.000,2023-01-16 11:46:12.000
c11,p13,2023-01-17,2,24,EUR,2023-01-17 09:15:30.000,2023-01-17 09:15:30.000
c12,p14,2023-01-17,1,15,EUR,2023-01-17 14:22:11.000,2023-01-17 14:22:11.000
c13,p15,2023-01-18,3,54,EUR,2023-01-18 11:05:44.000,2023-01-20 16:30:22.000
c14,p16,2023-01-18,,20,EUR,2023-01-18 08:45:19.000,2023-01-18 08:45:19.000
c15,p17,2023-01-19,1,,EUR,2023-01-19 10:12:05.000,2023-01-19 10:12:05.000
c16,p18,2023-01-19,2,64,EUR,2023-01-19 13:55:40.000,2023-01-20 09:18:12.000
c17,p19,2023-01-20,1,95,EUR,2023-01-20 16:04:18.000,2023-01-20 16:04:18.000
c18,p20,2023-01-20,,,EUR,2023-01-20 15:30:22.000,2023-01-20 15:30:22.000
c19,p21,2023-01-21,4,40,EUR,2023-01-21 09:22:47.000,2023-01-21 09:22:47.000
c20,p22,2023-01-21,1,25,EUR,2023-01-21 11:05:14.000,2023-01-23 14:12:09.000
c21,p23,2023-01-22,2,70,EUR,2023-01-22 16:40:00.000,2023-01-22 16:40:00.000
c22,p24,2023-01-22,3,75,EUR,2023-01-22 07:55:33.000,2023-01-25 08:22:19.000
c23,p25,2023-01-23,1,50,EUR,2023-01-23 14:12:09.000,2023-01-23 14:12:09.000
c24,p26,2023-01-23,,65,EUR,2023-01-23 18:25:50.000,2023-01-23 18:25:50.000
c25,p27,2023-01-24,2,,EUR,2023-01-24 09:00:04.000,2023-01-24 09:00:04.000
c26,p28,2023-01-24,3,45,EUR,2023-01-24 11:47:13.000,2023-01-26 13:05:40.000
c27,p29,2023-01-25,1,55,EUR,2023-01-25 15:10:22.000,2023-01-25 15:10:22.000
c28,p30,2023-01-25,2,30,EUR,2023-01-25 13:22:58.000,2023-01-25 13:22:58.000
c29,p31,2023-01-26,,,EUR,2023-01-26 10:14:05.000,2023-01-29 11:00:15.000
c30,p32,2023-01-26,1,22,EUR,2023-01-26 16:33:21.000,2023-01-26 16:33:21.000
c1,p13,2023-01-27,3,36,EUR,2023-01-27 10:05:00.000,2023-01-27 10:05:00.000
c2,p14,2023-01-27,2,,EUR,2023-01-27 14:15:22.000,2023-01-27 14:15:22.000
c3,p15,2023-01-28,,18,EUR,2023-01-28 11:30:45.000,2023-01-28 11:30:45.000
c4,p16,2023-01-28,1,20,EUR,2023-01-28 16:22:11.000,2023-01-28 16:22:11.000
c5,p17,2023-01-29,2,56,EUR,2023-01-29 09:45:18.000,2023-02-02 14:12:00.000
c6,p18,2023-01-29,1,32,EUR,2023-01-29 13:04:55.000,2023-01-29 13:04:55.000
c7,p19,2023-01-30,,,EUR,2023-01-30 11:18:22.000,2023-01-30 11:18:22.000
c8,p20,2023-01-30,2,170,EUR,2023-01-30 15:50:40.000,2023-01-30 15:50:40.000
c9,p21,2023-01-31,3,30,EUR,2023-01-31 08:12:14.000,2023-02-05 09:30:11.000
c10,p22,2023-01-31,1,,EUR,2023-01-31 17:25:33.000,2023-01-31 17:25:33.000
